bar,dir,trigger,outcome
2022-03-16 14:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 16850 exp=2024-10-03
2022-03-16 14:35:00,BEARISH,PendingFlip,FAIL:no_contract PE 16950 exp=2024-10-03
2022-03-16 15:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 16950 exp=2024-10-03
2022-03-17 11:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 17300 exp=2024-10-03
2022-03-17 13:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 17350 exp=2024-10-03
2022-03-17 14:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-03-17 14:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 17350 exp=2024-10-03
2022-03-21 11:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17200 exp=2024-10-03
2022-03-21 12:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 17250 exp=2024-10-03
2022-03-21 14:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-03-21 15:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17150 exp=2024-10-03
2022-03-22 11:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17000 exp=2024-10-03
2022-03-22 12:15:00,BEARISH,PendingFlip,FAIL:no_contract PE 17100 exp=2024-10-03
2022-03-22 12:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-03-22 14:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 17350 exp=2024-10-03
2022-03-22 15:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 17300 exp=2024-10-03
2022-03-23 11:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 17300 exp=2024-10-03
2022-03-23 11:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 17400 exp=2024-10-03
2022-03-23 13:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-03-23 14:15:00,BEARISH,PendingFlip,FAIL:no_contract PE 17300 exp=2024-10-03
2022-03-23 14:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 17200 exp=2024-10-03
2022-03-23 15:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 17300 exp=2024-10-03
2022-03-24 10:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 17250 exp=2024-10-03
2022-03-24 12:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 17200 exp=2024-10-03
2022-03-24 13:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-03-25 11:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17150 exp=2024-10-03
2022-03-25 12:55:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-03-25 14:55:00,BULLISH,PendingFlip,FAIL:no_contract CE 17050 exp=2024-10-03
2022-03-28 09:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 17100 exp=2024-10-03
2022-03-28 11:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17000 exp=2024-10-03
2022-03-28 13:00:00,BULLISH,PendingFlip,FAIL:no_contract CE 17150 exp=2024-10-03
2022-03-28 14:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 17200 exp=2024-10-03
2022-03-28 14:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17150 exp=2024-10-03
2022-03-29 09:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-03-29 09:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 17200 exp=2024-10-03
2022-03-29 09:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-03-29 09:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-03-29 09:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-03-29 09:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-03-29 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-03-29 11:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-03-29 12:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 17300 exp=2024-10-03
2022-03-29 12:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 17200 exp=2024-10-03
2022-03-29 14:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17300 exp=2024-10-03
2022-03-29 14:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-03-30 12:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 17550 exp=2024-10-03
2022-03-30 14:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 17500 exp=2024-10-03
2022-03-30 14:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17450 exp=2024-10-03
2022-03-31 09:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17500 exp=2024-10-03
2022-03-31 13:00:00,BULLISH,PendingFlip,FAIL:no_contract CE 17450 exp=2024-10-03
2022-03-31 13:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 17550 exp=2024-10-03
2022-03-31 15:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17400 exp=2024-10-03
2022-04-01 11:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17600 exp=2024-10-03
2022-04-01 11:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17500 exp=2024-10-03
2022-04-01 12:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17550 exp=2024-10-03
2022-04-01 12:55:00,BULLISH,PendingFlip,FAIL:no_contract CE 17500 exp=2024-10-03
2022-04-01 15:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 17650 exp=2024-10-03
2022-04-04 11:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 18050 exp=2024-10-03
