entry_time,exit_time,type,signal,entry_spot,strike,opt_type,itm_depth,entry_premium,exit_premium,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,qty,equity_at_entry
2025-03-05 13:25:00,2025-03-05 13:40:00,BUY_PE,BEARISH,22354.5,22400,PE,1,104.45,131.15,2002.5000000000002,64.70033128,1937.7996687200002,Target,2025-03-06,0,False,75,220454
2025-03-05 13:40:00,2025-03-05 15:10:00,BUY_PE,BEARISH,22313.8,22350,PE,1,102.15,88.75,-1005.0000000000005,60.105651294999994,-1065.1056512950004,Reversal,2025-03-06,0,False,75,222392
2025-03-05 15:15:00,2025-03-05 15:20:00,BUY_CE,BULLISH,22333.35,22300,CE,1,98.95,96.25,-202.50000000000023,60.79654125999999,-263.2965412600002,IntradayExit,2025-03-06,0,False,75,221327
2025-03-06 11:55:00,2025-03-06 12:20:00,BUY_PE,BEARISH,22399.65,22450,PE,1,166.85,160.0,-513.7499999999995,69.88182646749999,-583.6318264674995,Reversal,2025-03-13,0,False,75,221064
2025-03-06 12:25:00,2025-03-06 14:45:00,BUY_CE,BULLISH,22428.5,22400,CE,1,188.45,242.7,4068.75,79.42177143250001,3989.3282285675,Target,2025-03-13,0,False,75,220480
2025-03-06 14:45:00,2025-03-06 15:15:00,BUY_CE,BULLISH,22537.05,22500,CE,1,180.6,186.5,442.50000000000045,73.169449105,369.33055089500044,IntradayExit,2025-03-13,0,False,75,224469
2025-03-07 11:05:00,2025-03-07 12:20:00,BUY_PE,BEARISH,22593.95,22650,PE,1,160.1,205.55,3408.7500000000014,74.50635190749999,3334.243648092501,Target,2025-03-13,0,False,75,224839
2025-03-07 12:20:00,2025-03-07 13:10:00,BUY_PE,BEARISH,22524.25,22550,PE,1,151.19,142.55,-647.999999999999,67.49379873699999,-715.493798736999,Reversal,2025-03-13,0,False,75,228173
2025-03-07 13:15:00,2025-03-07 15:15:00,BUY_CE,BULLISH,22559.1,22500,CE,1,174.95,177.4,183.75000000000128,72.00913149249999,111.74086850750129,IntradayExit,2025-03-13,0,False,75,227457
2025-03-10 11:20:00,2025-03-10 13:45:00,BUY_CE,BULLISH,22613.5,22550,CE,1,165.35,116.95,-3629.9999999999995,65.24492636500001,-3695.2449263649996,StopLoss,2025-03-13,0,False,75,227569
