bar,dir,trigger,outcome
2022-07-22 15:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 16650 exp=2024-10-03
2022-07-25 09:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 16750 exp=2024-10-03
2022-07-25 09:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 16750 exp=2024-10-03
2022-07-25 09:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 16700 exp=2024-10-03
2022-07-25 09:35:00,BEARISH,PendingFlip,FAIL:no_contract PE 16700 exp=2024-10-03
2022-07-25 09:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 16600 exp=2024-10-03
2022-07-25 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 16600 exp=2024-10-03
2022-07-25 10:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 16600 exp=2024-10-03
2022-07-25 10:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 16650 exp=2024-10-03
2022-07-25 10:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 16550 exp=2024-10-03
2022-07-25 10:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 16650 exp=2024-10-03
2022-07-25 10:55:00,BULLISH,PendingFlip,FAIL:no_contract CE 16550 exp=2024-10-03
2022-07-25 11:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 16550 exp=2024-10-03
2022-07-25 11:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 16650 exp=2024-10-03
2022-07-25 12:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 16650 exp=2024-10-03
2022-07-25 12:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 16550 exp=2024-10-03
2022-07-25 12:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 16650 exp=2024-10-03
2022-07-25 12:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 16550 exp=2024-10-03
2022-07-25 13:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 16650 exp=2024-10-03
2022-07-25 13:45:00,BULLISH,Signal,SKIP:ADX_low 16.4<20
2022-07-25 14:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 16700 exp=2024-10-03
2022-07-26 09:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
2022-07-26 09:45:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
2022-07-26 10:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-07-26 10:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 16550 exp=2024-10-03
2022-07-26 10:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 16450 exp=2024-10-03
2022-07-26 11:15:00,BEARISH,PendingFlip,FAIL:no_contract PE 16550 exp=2024-10-03
