entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,qty,equity_at_entry,margin_at_entry,margin_req,elm_component,margin_util_pct
2024-09-10 10:10:00,2024-09-10 11:00:00,BEAR_CALL,24915.05,24900,25400,394.35,155.15,388.0,154.4,239.20000000000002,233.6,5.600000000000023,1092.0000000000045,369.762694997,722.2373050030046,Reversal,2024-10-03,0,False,False,195,375877,70593,77652,0,18.8
2024-09-10 11:05:00,2024-09-10 14:35:00,BULL_PUT,24953.5,24950,24450,294.7,146.4,221.45,146.4,148.29999999999998,75.04999999999998,73.25,14283.75,292.0706389385,13991.6793610615,Reversal,2024-10-03,0,False,False,195,376599,70702,77772,0,18.8
2024-09-11 10:15:00,2024-09-11 11:30:00,BULL_PUT,25066.5,25050,24550,282.3,131.9,270.0,131.9,150.4,138.1,12.300000000000011,2398.5000000000023,297.077771543,2101.4222284570023,Reversal,2024-10-03,0,False,False,195,390591,71022,78124,0,18.2
2024-09-11 12:25:00,2024-09-11 13:20:00,BULL_PUT,25089.3,25100,24600,270.39,124.85,287.5,125.0,145.54,162.5,-16.960000000000008,-3307.2000000000016,296.1980625362,-3603.3980625362015,Reversal,2024-10-03,0,False,False,195,392692,71086,78195,0,18.1
2024-09-12 09:35:00,2024-09-12 10:15:00,BULL_PUT,25009.95,25000,24500,245.05,104.0,250.2,107.9,141.05,142.29999999999998,-1.2499999999999716,-243.74999999999446,272.0617511045,-515.8117511044944,Reversal,2024-10-03,0,False,False,195,389089,70862,77948,0,18.2
2024-09-12 10:20:00,2024-09-12 12:15:00,BEAR_CALL,25010.05,25000,25500,359.85,125.4,357.1,126.0,234.45000000000002,231.10000000000002,3.3499999999999943,653.2499999999989,340.98769146049995,312.2623085394989,Reversal,2024-10-03,0,False,False,195,388573,70862,77948,0,18.2
2024-09-12 12:20:00,2024-09-13 09:40:00,BULL_PUT,24979.3,25000,24500,267.0,114.0,150.0,64.65,153.0,85.35,67.65,13191.750000000002,238.7002948595,12953.049705140502,Reversal,2024-10-03,1,True,False,195,388885,70775,77852,0,18.2
2024-09-13 10:20:00,2024-09-13 12:00:00,BULL_PUT,25335.75,25350,24850,267.75,117.0,246.7,99.8,150.75,146.89999999999998,3.8500000000000227,750.7500000000044,276.2576556875,474.49234431250443,Reversal,2024-10-03,0,False,False,195,401838,71785,78963,0,17.9
2024-09-13 14:20:00,2024-09-13 14:50:00,BULL_PUT,25383.55,25400,24900,254.9,103.7,253.95,105.85,151.2,148.1,3.0999999999999943,604.4999999999989,275.256510692,329.24348930799886,Reversal,2024-10-03,0,False,False,195,402313,71920,79112,0,17.9
2024-09-16 09:15:00,2024-09-16 10:35:00,BULL_PUT,25395.3,25400,24900,240.55,107.75,213.5,83.65,132.8,129.85,2.950000000000017,575.2500000000033,254.04779193349998,321.2022080665033,Reversal,2024-10-03,0,False,False,195,402642,71953,79149,0,17.9
2024-09-16 10:40:00,2024-09-16 13:10:00,BEAR_CALL,25401.45,25400,25900,302.5,87.3,284.75,77.45,215.2,207.3,7.899999999999977,1540.4999999999955,287.84543426,1252.6545657399954,Reversal,2024-10-03,0,False,False,195,402963,71971,79168,0,17.9
