entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,qty,equity_at_entry,margin_at_entry,margin_req,elm_component,margin_util_pct
2025-03-13 11:40:00,2025-03-17 09:15:00,BEAR_CALL,22433.5,22450,22950,141.95,12.55,167.0,10.65,129.39999999999998,156.35,-26.950000000000017,-8758.750000000005,245.4059372575,-9004.155937257505,Reversal,2025-03-20,4,True,True,325,1679703,91603,100764,28042,5.5
2025-03-17 09:20:00,2025-03-17 10:30:00,BULL_PUT,22515.7,22500,22000,97.85,10.1,114.0,9.65,87.75,104.35,-16.599999999999994,-5394.999999999998,199.24354217999996,-5594.243542179998,Reversal,2025-03-20,0,False,False,325,1670699,63794,70174,0,3.8
2025-03-17 10:35:00,2025-03-17 14:15:00,BEAR_CALL,22460.9,22450,22950,143.69,6.25,167.2,7.05,137.44,160.14999999999998,-22.70999999999998,-7380.749999999994,243.71929949949998,-7624.469299499494,Reversal,2025-03-20,0,False,False,325,1665105,63639,70003,0,3.8
2025-03-17 14:20:00,2025-03-18 09:35:00,BULL_PUT,22510.25,22500,22000,99.8,8.19,46.35,4.45,91.61,41.9,49.71,16155.75,165.5739973295,15990.1760026705,Target,2025-03-20,1,True,False,325,1657480,63779,70157,0,3.8
2025-03-18 09:35:00,2025-03-18 12:45:00,BULL_PUT,22702.5,22700,22200,109.6,10.8,95.95,8.65,98.8,87.3,11.5,3737.5,195.80004875,3541.69995125,Reversal,2025-03-20,0,False,False,325,1673471,64324,70756,0,3.8
2025-03-18 12:50:00,2025-03-18 13:15:00,BEAR_CALL,22730.2,22750,23250,92.25,2.0,117.45,1.95,90.25,115.5,-25.25,-8206.25,193.5442478325,-8399.7942478325,Reversal,2025-03-20,0,False,False,325,1677012,64402,70842,0,3.8
2025-03-18 13:20:00,2025-03-19 10:15:00,BULL_PUT,22778.2,22800,22300,101.3,9.9,44.9,2.95,91.39999999999999,41.949999999999996,49.449999999999996,16071.249999999998,165.1408090025,15906.109190997498,Target,2025-03-20,1,True,False,325,1668612,64538,70992,0,3.9
2025-03-19 10:15:00,2025-03-20 09:15:00,BULL_PUT,22899.35,22900,22400,79.0,4.9,31.1,1.7,74.1,29.400000000000002,44.69999999999999,14527.499999999996,147.03201053499998,14380.467989464996,Target,2025-03-20,1,True,False,325,1684519,64881,71370,0,3.9
2025-03-20 11:10:00,2025-03-21 09:35:00,BULL_PUT,23063.55,23050,22550,135.1,26.05,60.2,7.95,109.05,52.25,56.8,18460.0,192.628980265,18267.371019735,Target,2025-03-27,1,True,True,325,1698899,94176,103594,28829,5.5
2025-03-21 09:35:00,2025-03-21 13:35:00,BULL_PUT,23247.5,23250,22750,135.44,16.0,88.55,12.3,119.44,76.25,43.19,14036.75,206.68678300450003,13830.0632169955,Reversal,2025-03-27,0,False,False,325,1717166,65868,72455,0,3.8
