entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,qty,equity_at_entry,margin_at_entry,margin_req,elm_component,elm_raw,margin_util_pct
2025-03-26 09:20:00,2025-03-26 11:55:00,BULL_PUT,23722.85,23700,23200,84.7,6.85,109.25,5.65,77.85000000000001,103.6,-25.749999999999986,-5021.249999999997,150.92691186349998,-5172.1769118634975,Reversal,2025-03-27,0,False,False,195,1189706,67215,73936,0,92519,5.6
2025-03-26 11:55:00,2025-03-27 09:40:00,BEAR_CALL,23589.15,23600,24100,126.85,5.35,29.35,2.0,121.5,27.35,94.15,18359.25,138.8605812365,18220.3894187635,Reversal,2025-03-27,1,True,False,195,1184534,66836,73520,0,91998,5.6
2025-03-27 09:40:00,2025-03-28 09:35:00,BULL_PUT,23554.7,23550,23050,152.1,37.35,154.9,25.45,114.75,129.45000000000002,-14.700000000000017,-2866.500000000003,190.670328674,-3057.170328674003,Reversal,2025-04-03,1,True,True,195,1202754,96182,105800,29443,91863,8.0
2025-03-28 09:35:00,2025-03-28 10:30:00,BEAR_CALL,23512.6,23500,24000,176.0,25.0,221.85,31.8,151.0,190.04999999999998,-39.04999999999998,-7614.749999999996,216.9001345295,-7831.650134529496,Reversal,2025-04-03,0,False,False,195,1199697,66619,73281,0,91699,5.6
2025-03-28 10:30:00,2025-03-28 12:20:00,BULL_PUT,23626.75,23650,23150,160.05,26.4,180.6,25.45,133.65,155.15,-21.5,-4192.5,199.179417275,-4391.679417275,Reversal,2025-04-03,0,False,False,195,1191866,66942,73637,0,92144,5.6
2025-03-28 12:20:00,2025-03-28 14:25:00,BEAR_CALL,23540.9,23550,24050,141.6,16.25,116.5,12.15,125.35,104.35,21.0,4095.0,171.36393399500002,3923.636066005,Reversal,2025-04-03,0,False,False,195,1187474,66699,73369,0,91810,5.6
2025-03-28 14:25:00,2025-03-28 15:15:00,BULL_PUT,23571.8,23550,23050,133.19,17.8,121.45,16.75,115.39,104.7,10.689999999999998,2084.5499999999997,171.8447976497,1912.7052023502997,Reversal,2025-04-03,0,False,False,195,1191398,66787,73465,0,91930,5.6
2025-03-28 15:15:00,2025-04-01 09:30:00,BEAR_CALL,23497.1,23500,24000,140.35,14.3,98.05,7.05,126.05,91.0,35.05,6834.749999999999,164.2155051425,6670.534494857499,Reversal,2025-04-03,4,True,False,195,1193310,66575,73233,0,91639,5.6
2025-04-01 09:30:00,2025-04-01 10:20:00,BULL_PUT,23514.4,23500,23000,114.95,13.55,102.75,10.9,101.4,91.85,9.550000000000011,1862.2500000000023,159.5099331545,1702.7400668455023,Reversal,2025-04-03,0,False,False,195,1199981,66624,73287,0,91706,5.6
2025-04-01 10:20:00,2025-04-02 09:30:00,BEAR_CALL,23374.85,23350,23850,189.55,12.6,60.3,3.1,176.95000000000002,57.199999999999996,119.75000000000003,23351.250000000007,165.92273349650003,23185.327266503507,Reversal,2025-04-03,1,True,False,195,1201684,66229,72852,0,91162,5.5
2025-04-02 09:30:00,2025-04-03 09:15:00,BULL_PUT,23279.05,23300,22800,109.85,11.75,136.8,7.6,98.1,129.20000000000002,-31.100000000000023,-6064.500000000005,166.65567908000006,-6231.155679080005,Reversal,2025-04-03,1,True,False,195,1224869,65957,72553,0,90788,5.4
